iter	Passed	Remaining
0	0	94
1	1	85
2	2	89
3	3	83
4	4	80
5	4	77
6	5	76
7	6	73
8	7	72
9	7	71
10	8	70
11	9	68
12	10	67
13	10	66
14	11	66
15	12	65
16	13	64
17	14	63
18	14	63
19	15	62
20	16	61
21	16	60
22	17	59
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	33	42
44	34	41
45	34	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
