iter	Passed	Remaining
0	172	172022
1	173	86357
2	173	57810
3	174	43531
4	175	35003
5	176	29314
6	177	25216
7	178	22138
8	179	19745
9	180	17821
10	180	16251
11	181	14951
12	182	13854
13	183	12922
14	184	12107
15	185	11391
16	186	10757
17	186	10194
18	188	9713
19	189	9277
20	190	8861
21	190	8483
22	191	8138
23	192	7822
24	193	7531
25	193	7262
26	194	7021
27	197	6839
28	198	6633
29	198	6432
30	199	6243
31	200	6063
32	201	5898
33	202	5751
34	203	5605
35	204	5468
36	204	5334
37	205	5207
38	206	5085
39	207	4972
40	207	4863
41	208	4760
42	209	4660
43	210	4573
44	211	4482
45	212	4406
46	213	4325
47	214	4244
48	214	4169
49	216	4104
50	217	4040
51	218	3976
52	218	3911
53	219	3848
54	220	3788
55	221	3730
56	222	3673
57	222	3619
58	224	3576
59	225	3527
60	225	3478
61	226	3430
62	227	3384
63	228	3339
64	229	3296
65	230	3259
66	231	3226
67	232	3187
68	233	3148
69	233	3108
70	234	3070
71	235	3034
72	236	2999
73	236	2963
74	237	2930
75	238	2900
76	239	2870
77	240	2841
78	241	2813
79	242	2785
80	242	2756
81	243	2728
82	244	2697
83	245	2675
84	246	2650
85	247	2626
86	247	2600
87	248	2575
88	249	2551
89	249	2527
90	250	2503
91	251	2480
92	252	2458
93	252	2436
94	254	2422
95	255	2404
96	256	2384
97	256	2364
98	257	2344
99	258	2325
100	259	2307
101	260	2292
102	261	2276
103	262	2258
104	262	2240
105	263	2223
106	264	2205
107	264	2188
108	265	2172
109	266	2158
110	268	2147
111	269	2135
112	270	2126
113	271	2112
114	272	2098
115	273	2084
116	274	2071
117	276	2068
118	277	2055
119	278	2045
120	279	2031
121	280	2017
122	281	2004
123	281	1992
124	282	1979
125	284	1972
126	285	1961
127	286	1951
128	287	1942
129	288	1931
130	289	1921
131	291	1915
132	292	1905
133	293	1895
134	294	1886
135	295	1875
136	295	1864
137	296	1852
138	297	1841
139	297	1830
140	299	1822
141	300	1813
142	301	1803
143	301	1794
144	302	1783
145	303	1774
146	304	1765
147	305	1756
148	306	1749
149	307	1744
150	308	1736
151	309	1727
152	310	1718
153	311	1711
154	312	1704
155	314	1699
156	315	1692
157	315	1683
158	316	1675
159	317	1668
160	318	1659
161	319	1651
162	320	1645
163	321	1641
164	322	1634
165	324	1628
166	325	1622
167	326	1614
168	326	1607
169	327	1598
170	328	1592
171	329	1585
172	330	1581
173	331	1575
174	332	1568
175	333	1561
176	334	1554
177	335	1549
178	336	1544
179	338	1541
180	339	1535
181	340	1528
182	340	1521
183	341	1515
184	342	1509
185	344	1505
186	345	1502
187	346	1496
188	347	1490
189	348	1484
190	349	1480
191	350	1475
192	351	1469
193	352	1463
194	352	1456
195	353	1450
196	354	1445
197	355	1441
198	356	1435
199	357	1429
200	359	1427
201	360	1423
202	361	1419
203	362	1413
204	363	1408
205	363	1402
206	364	1396
207	365	1391
208	365	1385
209	367	1380
210	368	1376
211	368	1370
212	369	1365
213	370	1359
214	370	1354
215	371	1349
216	372	1344
217	374	1344
218	376	1342
219	377	1337
220	378	1333
221	379	1328
222	380	1325
223	381	1322
224	383	1320
225	384	1317
226	385	1313
227	386	1309
228	387	1304
229	388	1299
230	389	1295
231	390	1291
232	391	1287
233	391	1282
234	392	1277
235	393	1274
236	395	1272
237	396	1269
238	397	1264
239	398	1260
240	398	1256
241	399	1251
242	400	1247
243	401	1243
244	401	1238
245	402	1234
246	403	1230
247	404	1227
248	406	1224
249	407	1221
250	407	1217
251	408	1212
252	409	1209
253	410	1205
254	412	1203
255	413	1202
256	414	1199
257	415	1195
258	416	1191
259	417	1187
260	418	1183
261	419	1180
262	420	1178
263	421	1174
264	422	1170
265	422	1167
266	424	1164
267	424	1160
268	425	1156
269	426	1153
270	427	1150
271	429	1148
272	430	1145
273	431	1142
274	431	1138
275	432	1134
276	433	1130
277	434	1129
278	436	1126
279	437	1123
280	437	1120
281	438	1117
282	439	1114
283	441	1112
284	442	1111
285	443	1107
286	444	1104
287	445	1101
288	446	1097
289	446	1094
290	447	1090
291	449	1088
292	450	1086
293	451	1083
294	451	1080
295	452	1076
296	453	1074
297	454	1071
298	455	1068
299	456	1065
300	458	1064
301	459	1062
302	460	1058
303	461	1055
304	461	1052
305	463	1050
306	464	1048
307	465	1046
308	466	1043
309	467	1040
310	468	1037
311	469	1034
312	470	1033
313	472	1032
314	473	1029
315	474	1026
316	475	1024
317	476	1021
318	477	1019
319	478	1017
320	479	1015
321	480	1011
322	481	1008
323	482	1005
324	483	1003
325	483	1000
326	484	997
327	485	994
328	486	992
329	487	989
330	488	987
331	489	985
332	490	983
333	492	982
334	494	980
335	494	978
336	495	975
337	496	972
338	497	969
339	498	968
340	500	966
341	501	963
342	501	960
343	502	958
344	503	955
345	504	953
346	505	950
347	505	947
348	506	945
349	507	943
350	509	941
351	510	939
352	511	936
353	511	933
354	512	931
355	513	928
356	514	927
357	516	926
358	517	924
359	518	921
360	519	918
361	519	916
362	520	913
363	521	911
364	522	909
365	524	907
366	525	905
367	525	903
368	526	900
369	527	898
370	528	896
371	530	894
372	531	893
373	532	891
374	533	888
375	534	886
376	534	883
377	535	881
378	536	879
379	537	877
380	539	875
381	539	873
382	540	871
383	541	868
384	542	866
385	543	865
386	545	863
387	546	862
388	547	859
389	548	857
390	549	855
391	549	853
392	550	850
393	551	848
394	552	846
395	553	844
396	554	842
397	555	840
398	556	838
399	557	836
400	558	834
401	559	832
402	561	831
403	562	829
404	563	827
405	564	825
406	565	823
407	565	821
408	567	819
409	568	818
410	569	816
411	570	814
412	571	812
413	572	810
414	573	808
415	574	806
416	576	805
417	577	803
418	577	801
419	578	799
420	579	797
421	580	794
422	581	793
423	582	791
424	583	790
425	584	788
426	585	786
427	586	783
428	587	781
429	588	780
430	590	779
431	591	777
432	592	775
433	593	773
434	593	771
435	594	769
436	595	767
437	596	765
438	597	763
439	598	761
440	599	760
441	600	757
442	601	755
443	602	754
444	603	752
445	604	751
446	606	750
447	607	748
448	608	746
449	609	744
450	610	742
451	610	740
452	611	738
453	613	737
454	614	735
455	615	733
456	615	731
457	616	729
458	617	728
459	619	726
460	620	725
461	621	723
462	622	721
463	623	719
464	624	717
465	624	715
466	625	714
467	626	712
468	628	711
469	629	709
470	630	707
471	631	706
472	632	704
473	633	702
474	634	701
475	635	699
476	636	697
477	637	696
478	638	694
479	638	692
480	639	690
481	640	688
482	641	686
483	642	685
484	643	683
485	644	681
486	645	679
487	646	678
488	647	676
489	648	674
490	649	673
491	651	672
492	651	670
493	652	668
494	653	666
495	654	664
496	655	663
497	656	661
498	657	659
499	658	658
500	659	656
501	660	654
502	661	653
503	661	651
504	663	649
505	664	648
506	666	647
507	666	645
508	667	644
509	668	642
510	669	640
511	670	638
512	671	637
513	672	635
514	673	634
515	674	632
516	675	631
517	676	629
518	677	627
519	678	626
520	679	625
521	681	623
522	682	622
523	682	620
524	683	618
525	684	616
526	685	615
527	686	613
528	687	612
529	688	610
530	689	608
531	690	607
532	691	605
533	692	603
534	693	602
535	695	601
536	696	600
537	697	598
538	697	596
539	698	595
540	699	593
541	700	591
542	701	590
543	702	588
544	703	587
545	704	585
546	705	584
547	706	582
548	707	580
549	709	580
550	710	578
551	711	577
552	711	575
553	712	573
554	713	572
555	714	570
556	715	568
557	716	567
558	717	565
559	718	564
560	719	562
561	720	561
562	720	559
563	721	557
564	722	556
565	724	555
566	725	554
567	726	552
568	727	551
569	728	549
570	729	547
571	730	546
572	731	544
573	732	543
574	733	542
575	734	540
576	734	538
577	735	537
578	736	535
579	738	534
580	740	533
581	741	532
582	742	530
583	743	529
584	743	527
585	744	526
586	745	524
587	746	523
588	747	521
589	748	520
590	749	518
591	750	517
592	751	515
593	752	514
594	754	513
595	755	512
596	756	510
597	757	509
598	758	507
599	758	505
600	759	504
601	760	503
602	762	501
603	762	500
604	763	498
605	764	497
606	765	495
607	766	494
608	767	492
609	769	491
610	770	490
611	771	488
612	772	487
613	772	485
614	773	484
615	774	482
616	775	481
617	776	480
618	777	478
619	778	477
620	779	475
621	780	474
622	781	473
623	783	472
624	785	471
625	785	469
626	786	468
627	787	466
628	788	465
629	789	463
630	790	462
631	791	460
632	792	459
633	793	457
634	794	456
635	794	454
636	795	453
637	797	452
638	798	451
639	799	449
640	800	448
641	801	446
642	802	445
643	802	443
644	803	442
645	804	441
646	805	439
647	807	438
648	808	437
649	809	435
650	809	434
651	810	432
652	811	431
653	813	430
654	814	429
655	815	427
656	816	426
657	817	424
658	817	423
659	818	421
660	819	420
661	820	419
662	821	417
663	822	416
664	823	414
665	824	413
666	825	412
667	827	411
668	831	411
669	832	410
670	833	408
671	834	407
672	836	406
673	837	405
674	838	403
675	839	402
676	840	400
677	841	399
678	842	398
679	844	397
680	845	396
681	865	403
682	871	404
683	872	403
684	873	401
685	876	401
686	878	400
687	883	400
688	884	399
689	885	398
690	886	396
691	888	395
692	889	394
693	890	392
694	892	391
695	893	390
696	895	389
697	896	387
698	897	386
699	899	385
700	900	384
701	901	382
702	903	381
703	904	380
704	905	379
705	907	377
706	908	376
707	910	375
708	913	375
709	915	373
710	916	372
711	917	371
712	918	369
